id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat
26,0.845421,tcp,ftp,FIN,16,8,9684,406,27.20538,254,252,85912.22656,3368.73584,5,2,56.361397,113.16643,4507.121099,178.680672,255,2517203169,2462565848,255,0.100456,0.036372,0.064084,605,51,0,0,1,1,1,1,1,2,0,0,0,1,1,0,Exploits
27,0.740256,tcp,http,FIN,10,6,774,268,20.26326,254,252,7532.529297,2420.78418,2,1,82.119889,131.486797,4343.607744,203.247094,255,1847217899,1343658594,255,0.154707,0.082811,0.071896,77,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Reconnaissance
28,1.1899,tcp,http,FIN,12,10,1326,3294,17.648541,62,252,8175.476562,19934.44727,3,3,108.172726,123.631664,5431.634445,188.441078,255,2360436159,2374207485,255,0.176547,0.076228,0.100319,111,329,1,784,2,1,2,1,1,4,0,0,1,2,2,0,Exploits
29,0.407476,tcp,http,FIN,10,6,780,268,36.811983,254,252,13782.40625,4397.805176,2,1,45.184444,71.706602,2284.19162,108.168641,255,2232729964,2184754395,255,0.11405,0.048911,0.065139,78,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance
30,0.823709,tcp,http,FIN,12,28,914,29346,47.346817,62,252,8138.796387,274834.9063,2,11,74.882636,28.308852,5161.273419,3164.931511,255,3770212799,282351333,255,0.141144,0.058747,0.082397,76,1048,1,13825,2,1,1,1,1,1,0,0,1,1,1,0,Exploits
31,1.094653,tcp,http,FIN,10,10,824,2216,17.357098,62,252,5422.723145,14579.96289,2,2,121.538111,107.763336,7551.945352,157.835484,255,4131395848,1054912688,255,0.246033,0.124782,0.121251,82,222,1,640,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
32,1.31628,tcp,http,FIN,12,10,1314,1774,15.954052,62,252,7323.669922,9706.141602,3,2,119.661824,135.519672,7326.926789,199.297734,255,737230307,602155309,255,0.171971,0.095961,0.07601,110,177,1,440,1,1,2,1,1,1,0,0,1,3,1,0,Exploits
33,2.838932,tcp,pop3,FIN,26,64,1222,63172,31.349817,62,252,3311.104248,175234.9063,7,30,113.551523,43.740096,6166.70459,3738.317491,255,724680820,4013307900,255,0.151464,0.083303,0.068161,47,987,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Exploits
34,5.293481,tcp,smtp,FIN,224,52,286548,3166,51.950693,62,252,431125,4694.075684,109,8,23.733184,102.449,2708.043724,134.368906,255,2243124043,3666733090,255,0.142381,0.068572,0.073809,1279,61,0,0,1,1,3,1,1,1,0,0,0,1,1,0,Exploits
35,1.843741,tcp,http,FIN,10,12,836,5624,11.389886,62,252,3267.27002,22371.9043,2,3,204.796,157.358727,13740.89271,9563.599221,255,1748565987,1068373560,255,0.209077,0.112794,0.096283,84,469,1,2306,1,1,2,1,1,1,0,0,1,1,1,0,Exploits
36,1.438237,tcp,http,FIN,10,10,958,2726,13.210619,62,252,4800.321777,13650.0459,2,2,159.804111,152.291438,10857.72385,205.263688,255,750893150,797708189,255,0.141729,0.066968,0.074761,96,273,1,895,2,1,1,1,1,1,0,0,1,1,1,0,DoS
37,1.465404,tcp,http,FIN,10,10,800,1018,12.965707,62,252,3930.656494,5006.12793,2,2,162.822667,151.279328,10706.08605,215.94,255,3499888983,2363001486,255,0.252379,0.103293,0.149086,80,102,1,55,2,1,2,1,1,1,0,0,1,1,1,0,DoS
38,3.429712,tcp,smtp,FIN,38,22,30764,1764,17.20261,62,252,69871.75781,3928.026611,16,8,92.694916,159.329766,6891.450006,227.798391,255,3004181543,1012253097,255,0.161565,0.082785,0.07878,810,80,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Exploits
39,2.360055,tcp,smtp,FIN,38,22,28162,1772,24.999418,62,252,92950.375,5735.459473,16,8,63.757489,108.620812,4592.780224,151.330719,255,3980532899,1823431203,255,0.167226,0.079015,0.088211,741,81,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Exploits
40,1.834468,tcp,http,FIN,10,12,818,4788,11.44746,62,252,3214.010742,19140.1543,2,3,203.733889,159.341187,13943.57699,10330.40749,255,2089509210,3077976052,255,0.160041,0.081714,0.078327,82,399,1,1898,1,1,1,1,1,1,0,0,1,3,1,0,Exploits
41,1.468132,tcp,http,FIN,10,10,830,1856,12.941615,62,252,4070.478516,9105.448242,2,2,163.125778,141.494328,8862.170967,311.424656,255,4114486629,3148076717,255,0.308934,0.193964,0.11497,83,186,1,464,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
42,2.119298,tcp,ftp,FIN,14,12,698,682,11.796359,254,252,2449.86792,2363.046631,4,4,156.232851,182.349547,8393.567996,211.306219,255,4062009954,797984780,255,0.179848,0.113446,0.066402,50,57,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Fuzzers
43,2.22194,tcp,ftp,FIN,14,12,700,682,11.251429,254,252,2340.297119,2253.88623,4,4,161.935764,190.023906,8703.944426,227.843938,255,4281885798,119897012,255,0.269414,0.131676,0.137738,50,57,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Fuzzers
44,2.663656,tcp,ftp,FIN,14,12,698,682,9.385596,254,252,1949.200684,1880.122681,4,4,201.579082,237.960453,13269.15922,357.423844,255,3423091652,1264921832,255,0.107339,0.046083,0.061256,50,57,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Fuzzers
45,1.905333,tcp,http,FIN,10,8,936,354,8.922325,254,252,3539.538574,1301.609741,2,1,211.703667,254.970859,11862.44416,383.0885,255,1171463392,4098359544,255,0.237883,0.120464,0.117419,94,44,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
46,0.803314,tcp,smtp,FIN,48,24,41302,2104,88.383873,62,252,402751.625,20086.79102,21,8,17.091787,34.078086,1234.990701,43.185934,255,1553329816,3565121951,255,0.05179,0.007336,0.044454,860,88,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
47,1.313131,tcp,ftp,FIN,22,22,1186,1668,32.746162,62,252,6902.586426,9705.048828,7,9,62.530048,61.898048,3280.636679,3990.112966,255,1433008002,2745761692,255,0.053878,0.007855,0.046023,54,76,0,0,1,1,2,1,1,2,1,1,0,2,1,0,Exploits
48,1.265907,tcp,smtp,FIN,150,38,172977,2638,147.720166,62,252,1085855.375,16234.99902,72,8,8.49602,32.512217,826.619637,38.104512,255,1072643731,4213121977,255,0.062571,0.046396,0.016175,1153,69,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Exploits
49,0.180252,tcp,http,FIN,10,6,974,268,83.216829,254,252,38923.28516,9941.637695,2,1,20.028,33.628398,1037.535373,64.570527,255,2069004396,2523737598,255,0.051015,0.006627,0.044388,97,45,1,0,1,1,1,1,1,1,0,0,1,1,2,0,Exploits
50,0.264132,tcp,http,FIN,10,10,748,4208,71.933732,62,252,20414.03516,114730.5156,2,2,29.348,28.419224,1409.30225,1901.023327,255,3886599047,1954191115,255,0.053529,0.007573,0.045956,75,421,1,1663,3,1,1,1,1,1,0,0,1,1,1,0,Exploits
51,0.201833,tcp,http,FIN,10,6,1308,268,74.318869,254,252,46692.07031,8878.62793,2,1,20.555,37.485,1029.959401,56.74282,255,2213049113,3720986296,255,0.059694,0.014399,0.045295,131,45,1,0,1,1,1,1,1,1,0,0,1,1,2,0,Worms
52,1.151317,tcp,ftp,FIN,22,22,1190,1652,37.348532,62,252,7893.568848,10957.88574,7,9,54.824618,53.900667,3064.999638,3657.859368,255,2727687527,2131410753,255,0.053657,0.008092,0.045565,54,75,0,0,1,1,2,1,1,2,1,1,0,2,1,0,Exploits
53,0.34468,tcp,http,FIN,12,10,1284,2074,60.926074,62,252,27318.0918,43332.94531,3,3,31.334545,36.536891,1587.947651,53.000266,255,396696120,986523889,255,0.050771,0.006186,0.044585,107,207,1,65,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
54,0.201967,tcp,http,FIN,12,6,4708,268,84.172166,254,252,170958.625,8872.736328,3,1,15.505545,38.959,907.923915,60.150297,255,4191333565,1769644227,255,0.053141,0.007165,0.045976,392,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
55,0.165417,tcp,http,FIN,12,6,3818,268,102.770573,254,252,169269.1719,10833.22754,3,1,15.037909,27.159199,855.047811,49.642379,255,1303353232,1398302577,255,0.06114,0.012885,0.048255,318,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
56,0.186136,tcp,http,FIN,10,12,816,6574,112.820729,62,252,31589.80469,259036.3906,2,4,20.681778,15.939636,1082.096022,1495.310915,255,2807725629,1492683247,255,0.05382,0.006817,0.047003,82,548,1,2794,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
57,0.188998,tcp,http,FIN,10,6,854,268,79.36592,254,252,32550.60938,9481.582031,2,1,19.176,36.523801,1028.159761,61.636449,255,3158290523,3962639570,255,0.063293,0.006362,0.056931,85,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance
58,0.198691,tcp,http,FIN,10,6,918,268,75.494111,254,252,33297.9375,9019.029297,2,1,20.530889,38.344199,1040.831903,61.173434,255,940626502,3460499259,255,0.053072,0.006967,0.046105,92,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
59,4.490101,udp,dns,INT,116,0,17078,0,25.611897,254,0,30165.91406,0,0,0,39.044355,0,53.99923,0,0,0,0,0,0,0,0,147,0,0,0,2,2,2,2,2,2,0,0,0,4,2,0,Fuzzers
60,0.568472,tcp,smtp,FIN,18,16,2512,1386,58.05035,254,252,33394.78125,18294.65625,6,6,33.386765,36.095199,1656.963798,42.704598,255,4061604134,1954606782,255,0.054905,0.027036,0.027869,140,87,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
61,0.628707,tcp,http,FIN,10,10,964,3708,30.220755,62,252,11044.89063,42474.47656,2,3,69.856333,57.513333,3985.420742,3627.239453,255,2318751353,4156684638,255,0.15658,0.066051,0.090529,96,371,1,1409,4,1,2,2,1,2,0,0,1,2,2,0,Exploits
62,0.417471,tcp,http,FIN,10,8,786,826,40.721392,62,252,13567.41016,13854.85449,2,2,46.284778,54.81557,2461.395282,76.150773,255,2120189938,2827257507,255,0.097739,0.033761,0.063978,79,103,1,14,1,1,1,1,1,1,0,0,1,1,1,0,DoS
63,0.328615,tcp,http,FIN,10,10,888,3780,57.818418,62,252,19475.67773,82820.32031,2,3,36.512778,32.54,1851.790992,2104.928236,255,3141333184,3688782502,255,0.069402,0.035025,0.034377,89,378,1,1436,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
64,0.376248,tcp,http,FIN,10,6,1062,268,39.867321,254,252,20327.01758,4762.815918,2,1,40.678444,64.537199,2131.378654,101.787672,255,2512637655,419055905,255,0.099115,0.053553,0.045562,106,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
65,1.30776,tcp,smtp,FIN,34,22,23864,1846,42.056646,62,252,141695.7188,10784.85352,14,8,39.62909,59.308145,2514.850279,70.619672,255,1118594827,2935223566,255,0.08491,0.061575,0.023335,702,84,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
66,0.338931,tcp,http,FIN,10,8,796,1024,50.157703,62,252,16923.79883,21148.84766,2,2,37.659,42.555,1937.961392,60.596176,255,967118013,4120194830,255,0.091635,0.040255,0.05138,80,128,1,90,2,1,1,1,1,1,0,0,1,1,1,0,DoS
67,1.194859,tcp,pop3,FIN,20,24,934,8624,35.987509,62,252,5945.471191,55337.07031,7,10,62.884579,48.693002,2990.764048,2621.335193,255,3083695214,2613797951,255,0.096073,0.074917,0.021156,47,359,0,0,1,1,2,1,1,1,0,0,0,1,1,0,Exploits
68,0.367036,tcp,http,FIN,10,8,1092,1044,46.316981,254,252,21425.68945,19921.75,2,2,40.781778,36.32643,1952.597443,53.597977,255,3308108982,1641553681,255,0.077193,0.048052,0.029141,109,131,1,98,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
69,0.000007,udp,snmp,INT,2,0,136,0,142857.1409,254,0,77714288,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,68,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS
70,0.49391,tcp,http,FIN,10,14,770,11200,46.567187,62,252,11224.7168,168451.7344,2,5,54.772111,35.214078,2872.89132,2730.183603,255,2761920022,3566826875,255,0.071621,0.036119,0.035502,77,800,1,5068,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
71,0.340732,tcp,http,FIN,10,8,842,1670,49.892583,254,252,17796.97852,34326.09766,2,2,37.859111,41.314715,1873.569022,59.201719,255,1662547502,1893834589,255,0.081875,0.050825,0.03105,84,209,1,430,1,1,1,1,1,1,0,0,1,1,1,0,DoS
72,0.328484,tcp,http,FIN,10,16,1126,14492,76.107208,62,252,24695.26758,330901.9688,2,6,36.375556,20.066267,1906.726334,1635.269407,255,1160354677,514290457,255,0.085007,0.027489,0.057518,113,906,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
73,0.381521,tcp,http,FIN,10,10,794,3962,49.800668,62,252,14992.62207,74774.39063,2,3,42.391222,37.958333,2080.64079,2263.833746,255,992830548,3879203431,255,0.085254,0.03954,0.045714,79,396,1,1537,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
74,0.580452,tcp,ssl,FIN,12,8,2326,552,32.73311,254,252,29397.7793,6656.880859,3,2,49.224635,70.482141,2509.833838,89.661328,255,814548613,1423057000,255,0.121115,0.08707,0.034045,194,69,0,0,1,1,1,1,1,2,0,0,0,1,1,0,Exploits
75,1.845588,tcp,smtp,FIN,24,20,4963,1834,23.298808,62,252,20619.98633,7555.315918,9,8,80.242954,93.532844,4509.168055,116.739383,255,2708788982,1203802522,255,0.125395,0.067622,0.057773,207,92,0,0,1,1,1,1,1,2,0,0,0,1,1,0,Exploits
76,0.474962,tcp,http,FIN,12,22,906,22330,69.479243,62,252,13996.90918,359018.1875,2,9,43.166726,19.108,2343.860318,1778.419287,255,3924857131,620656127,255,0.096061,0.073689,0.022372,76,1015,1,10443,1,1,1,1,1,1,0,0,1,2,1,0,Exploits
77,35.181515,tcp,smtp,FIN,4144,622,5487011,26990,135.440445,254,252,1247402.125,6127.536133,2070,2,8.538973,56.776277,1048.108498,65.390594,255,1246500401,2594456459,255,0.079306,0.025946,0.05336,1324,43,0,0,1,1,1,1,1,2,0,0,0,1,1,0,DoS
78,0.346076,tcp,http,FIN,10,6,914,268,43.343079,254,252,19024.72266,5178.053223,2,1,35.053556,61.029199,1826.965145,92.982352,255,2773566798,311507358,255,0.113786,0.040927,0.072859,91,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
79,3.315317,tcp,smtp,FIN,182,44,214505,2812,67.866815,62,252,514767.0625,6633.453125,88,8,18.316668,75.058695,1814.419301,88.867266,255,2228989328,2427852136,255,0.162629,0.087548,0.075081,1179,64,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
80,0.277344,tcp,http,FIN,10,10,800,5972,68.506983,62,252,20768.43359,155042.125,2,3,30.816,29.941556,1526.703697,1875.445529,255,1955121065,934836504,255,0.053869,0.007171,0.046698,80,597,1,2540,1,1,1,1,1,1,0,0,1,2,1,0,Exploits
81,0.190103,tcp,http,FIN,10,10,916,4638,99.945822,62,252,34718.02344,175694.2344,2,2,21.122556,19.921778,1106.390556,1714.842505,255,634514193,830372169,255,0.052237,0.006303,0.045934,92,464,1,1876,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
82,1.160125,tcp,ftp,FIN,22,22,1190,1642,37.064971,62,252,7833.638672,10812.62793,7,9,55.244049,54.780713,3003.477448,3593.618904,255,3381023975,1150359159,255,0.051855,0.005569,0.046286,54,75,0,0,1,1,2,1,1,2,1,1,0,2,1,0,Exploits
83,1.160125,tcp,ftp,FIN,22,22,1190,1642,37.064971,62,252,7833.638672,10812.62793,7,9,55.244049,54.780713,3003.477448,3593.618904,255,3381023975,1150359159,255,0.051855,0.005569,0.046286,54,75,0,0,1,1,2,1,1,2,1,1,0,2,1,0,Exploits
84,0.225991,tcp,http,FIN,10,8,1170,966,75.224236,254,252,37275.82031,29948.0957,2,2,25.110111,30.414857,1362.040071,53.578387,255,709846722,2818662235,255,0.053994,0.007956,0.046038,117,121,1,78,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
85,0.227117,tcp,http,FIN,10,10,834,5384,83.657321,62,252,26453.32617,170696.1563,2,3,25.235222,24.392667,1203.594104,1760.294515,255,2560575818,2990263853,255,0.052626,0.006827,0.045799,83,538,1,2248,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
86,1.411386,tcp,ftp,FIN,22,22,1202,1664,30.466506,62,252,6507.078613,9006.749023,7,9,67.208857,69.346747,3713.460029,4407.558062,255,1304956959,573928193,255,0.072545,0.023881,0.048664,55,76,0,0,1,1,2,1,1,2,1,1,0,2,1,0,Exploits
87,0.244608,tcp,http,FIN,10,6,980,268,61.322606,254,252,28846.1543,7326.007324,2,1,25.862667,39.759,1356.64221,61.574113,255,2688817882,4213136542,255,0.08045,0.04581,0.03464,98,45,1,0,1,1,1,1,1,2,0,0,1,1,1,0,Reconnaissance
88,1.253977,tcp,smtp,FIN,252,54,308919,3296,243.226163,62,252,1962996.25,20638.33789,123,8,4.995924,23.263094,606.286254,35.574094,255,37144313,2847193607,255,0.049045,0.016461,0.032584,1226,61,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
89,0.371083,tcp,http,FIN,10,6,950,268,40.422225,254,252,18432.53516,4829.108398,2,1,38.882778,63.336602,2047.389571,93.902641,255,4036880057,4244516005,255,0.13977,0.054391,0.085379,95,45,1,0,5,1,2,2,1,5,0,0,1,2,5,0,Fuzzers
90,57.237827,tcp,pop3,FIN,1642,11018,70700,14657531,221.164929,62,252,9875.567383,2048463.625,7,5507,34.901071,5.207182,2437.926717,928.124268,255,660150177,1867331307,255,0.048404,0.004971,0.043433,43,1330,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS
91,0.231606,tcp,http,FIN,12,22,926,23166,142.483351,62,252,29325.66406,763814.375,2,9,20.972909,10.274905,1154.253369,1061.350085,255,3832588857,1315057536,255,0.02988,0.01583,0.01405,77,1053,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
92,1.565097,tcp,http,FIN,60,348,2976,449181,260.047784,62,252,14961.37305,2289396.75,2,172,26.527067,4.420243,1500.427194,622.776359,255,825415081,3887846602,255,0.070315,0.019991,0.050324,50,1291,1,217346,1,1,1,1,1,1,0,0,1,2,1,0,Exploits
93,1.644148,tcp,smtp,FIN,232,50,283242,2998,170.909189,62,252,1372246.25,14300.41602,113,8,7.117524,31.946307,801.855726,42.75309,255,712613753,3524359574,255,0.064531,0.041766,0.022765,1221,60,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits
94,0.27331,tcp,http,FIN,10,6,898,268,54.882733,254,252,23680.07031,6556.657227,2,1,28.348667,43.082199,1480.415072,61.149516,255,1181515496,1277330068,255,0.10315,0.057891,0.045259,90,45,1,0,2,1,1,1,1,2,0,0,1,1,1,0,Exploits
95,0.217978,tcp,http,FIN,10,6,802,268,68.814284,254,252,26498.08594,8221.012695,2,1,22.000444,41.043398,1160.31563,67.676883,255,4239674941,3588497366,255,0.062684,0.012753,0.049931,80,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
96,0.496533,tcp,http,FIN,10,10,962,1056,38.265331,62,252,13952.74805,15322.24414,2,2,55.170333,46.8,3736.725152,102.283641,255,878386441,143321442,255,0.092974,0.046452,0.046522,96,106,1,56,2,1,2,2,1,2,0,0,1,2,2,0,Exploits
97,0.181007,tcp,http,FIN,10,6,2792,268,82.869724,254,252,111067.5313,9900.169922,2,1,18.643667,34.767801,998.062398,59.820789,255,2059679192,1881073752,255,0.052293,0.007159,0.045134,279,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits
